Indonesia,Javanese,Alphabet
api,"gêni; berapi: mêtu gênine, murub; perapian: prapèn, kêrên.",a
api-api,konang.,a
apik,"apik, bêcik.",a
apil(an),kayu têtamèng prau ingarêp.,a
apit,"ut. terapit: kêjêpit, kêpèpèd; berapit: pèpèd-pèpèdan; diapit: dijêpit, diplèpèd; pengapit: gapit, jêpitan; apitan: pamipitan, piranti dianggo mlèpèd.",a
apiun,"apyun, candu.",a
apung,barang kang kumambang; apung-apung; kambang; mengapung: kambang-kambang; terapung: kumambang.,a
ara,bngs. wringin.,a
araf,gêni pangrêsikan ing ngakerat.,a
arah,"ênêr; arah ke-: kêpering ing, pênêr ing; mengarah: ngênêr; diarahkan: diênêrake, ditujokake.",a
arak,i berarak: arak-arakan; diarak: diarak; perarakan: arak-arakan. ii ut. 'arak: arak.,a
arakian,"nuli, banjur.",a
aral,"aral, alangan.",a
aram,diaram: diulat-ulatake marga disujanani; diincim-incim.,a
aram-aram,"jlagrag kêna diêlah-êlih, sêtègêr.",a
aram-temaran,surêm (rêmbulan lsp.).,a
arang,arêng.,a
arang batu,arêng batu.,a
arang para-para,angus.,a
aras,i awas ratumu (ing dolanan catur). ii pêrês; mengaras: mêrês.,a
araskerdan,ar. panganan.,a
arasy,dhamparing pangeran.,a
arau,"diarau: diubak, diudhak, dikêbur.",a
arba,rêbo.,a
arca,rêca.,a
ari,kulit ari: kulit ayam; ular ari: ar. ula mandi.,a
arif,"sarjana, wong pintêr, wicaksana.",a
aring,"i mambu sumêgrak, pêsing. ii kêmbang kacang (peranganing kêris).",a
arip,"arip, ngantuk.",a
aris,i tali aris: tampar ut. pênjalin ditrap ing pinggiraning layar lsp. ii tlutuh garing.,a
arit,"tumuli, banjur.",a
arka,ringkih.,a
arkian,"tumuli, banjur.",a
arkus,truwèlu.,a
arloji,"jam.
--- 15 ---",a
armada,prau-prau pêrang.,a
arnab,truwèlu.,a
arti,"têgês, maksud; mengarti, mengerti: ngrêti; berarti: atêgês; tiada berarti: tanpa têgês, ora sapiraa; diartikan: ditêgêsi, ditêrangake; pengertian: pangrêti, têgês.",a
aruda,inggu.,a
